Project_ID,Team_Size,Budget_Allocated,Requirement_Changes,Code_Churn,Team_Experience_Score,Actual_Hours,Defect_Density,Actual_Cost,Cost_Variance,CPI,Schedule_Deviation_Days,Risk_Level
PROJ-100,10,32988.0,3,0.13,1.4699098521619942,480.0,5.745300382847941,26390.399999999998,6597.600000000002,1.25,0.0,Low
PROJ-311,15,42543.0,1,0.0,0.6394938606520418,1468.6509121857364,0.8964048760253334,69423.12861901976,-26880.128619019757,0.612807299905302,5.3,High
PROJ-146,10,34944.0,2,0.1,0.5650515929852795,1183.269394084231,7.764776456122719,68913.60951146562,-33969.60951146562,0.5070696521009559,8.7,High
PROJ-151,14,36884.399999999994,2,0.1,1.162522284353982,811.3634452693426,0.7556151835324849,35626.96888177683,1257.4311182231613,1.0352943614820496,0.0,Low
PROJ-708,10,37122.0,3,0.13,0.6959828624191452,1012.661583827108,5.605826883983132,62653.37219138317,-25531.37219138317,0.5924980364441653,5.9,High
PROJ-230,5,16665.0,2,0.29,0.5745506436797708,610.4676656833058,11.426395631827173,33911.47882870764,-17246.478828707637,0.4914265191493892,9.3,High
PROJ-367,15,62244.0,1,0.08,0.8308980248526492,1152.8770061581392,4.117437332922101,79732.9737458969,-17488.973745896903,0.7806556945733271,1.8,High
PROJ-414,6,19083.6,4,0.21,0.9937955963643907,423.7139810842822,8.856213816021665,22461.078137277796,-3377.478137277798,0.849629740984146,0.8,High
PROJ-723,10,24612.000000000004,0,0.17,1.4075664739260931,480.0,2.5947593105191427,19689.600000000002,4922.4000000000015,1.25,0.0,Low
PROJ-460,13,54771.6,1,0.09,1.1334037565104236,737.5607919613878,5.162218278705496,51791.51881152865,2980.0811884713476,1.0575399458609425,0.0,Low
PROJ-317,10,28476.0,4,0.14,1.3607305832563434,541.5249641887259,4.60936456673702,25700.774800396932,2775.225199603068,1.107982160894239,0.0,Low
PROJ-475,3,10206.0,1,0.2,1.2030189588951778,165.6652029924234,6.445070250677309,9393.217009670407,812.7829903295933,1.0865287142299411,0.0,Low
PROJ-586,10,47100.0,1,0.08,1.0026790232288616,635.9674653448002,5.197736638209501,49923.44602956682,-2823.4460295668177,0.9434444884294515,0.0,Medium
